Department,Category,Sub Category 1,Sub Category 2
Spare Parts,4 Door Freezer Trufrost ,4DF05TF Fan motor - Condensor,
Spare Parts,AHU Sna Aircon ,AHU01SNA Blower,
Spare Parts,AHU Sna Aircon ,AHU02SNA Shaft,
Spare Parts,AHU Sna Aircon ,AHU03SNA V belt,
Spare Parts,AHU Sna Aircon ,AHU04SNA Cooling coil,
Spare Parts,AHU Sna Aircon ,AHU05SNA Fine filter,
Spare Parts,AHU Sna Aircon ,AHU06SNA Door handle,
Spare Parts,AHU Sna Aircon ,AHU07SNA Door lock,
Spare Parts,AHU Sna Aircon ,AHU08SNA Grease,
Spare Parts,Aircurtain Euronics ,AC01EU Blower,
Spare Parts,Aircurtain Euronics ,AC02EU Blower moter,
Spare Parts,Aircurtain Euronics ,AC03EU Sensor,
Spare Parts,Aircurtain Euronics ,AC04EU Magnetic Sensor,
Spare Parts,Aircurtain Mitzvah ,AC01MT Blower,
Spare Parts,Aircurtain Mitzvah ,AC02MT Blower moter - single shaft,
Spare Parts,Aircurtain Mitzvah ,AC03MT Blower moter - double shaft,
Spare Parts,Aircurtain Mitzvah ,AC04MT Sensor Controller - single swtich,
Spare Parts,Aircurtain Mitzvah ,AC05MT Sensor Controller - double switch,
Spare Parts,Back Bar Celfrost ,BB01CF gasket,
Spare Parts,Back Bar Celfrost ,BB02CF lights,
Spare Parts,Back Bar Celfrost ,BB03CFL Left Door,
Spare Parts,Back Bar Celfrost ,BB03CFR Right Door,
Spare Parts,Back Bar Celfrost ,BB04CF Cooling Coil,
Spare Parts,Back Bar Celfrost ,BB05CF Temp controller,
Spare Parts,Back Bar Celfrost ,BB06CF Q Motor,
Spare Parts,Back Bar Celfrost ,BB07CF Door Spring,
Spare Parts,Back Bar Celfrost ,"BB08CF Excel Fan Motor 4x4""",
Spare Parts,Back Bar Trufrost ,BB01TF gasket,
Spare Parts,Back Bar Trufrost ,BB02TF lights,
Spare Parts,Chair Bushes Ss Fabrication  ,CB01 Chair Bushes ( 12mm Rod Bush Black colour ),
Spare Parts,Chest Freezer Celfrost ,CF01CF Gasket,
Spare Parts,Chest Freezer Celfrost ,CF02CF Door handle,
Spare Parts,Chest Freezer Celfrost ,CF03CF Door hing,
Spare Parts,Chest Freezer Celfrost ,CF04CF Condensing grill,
Spare Parts,Chest Freezer Celfrost ,CF05CF Condensing fan,
Spare Parts,Chest Freezer Celfrost ,CF06CF Condensor motor,
Spare Parts,Chest Freezer Celfrost ,CF07CF Relay,
Spare Parts,Chest Freezer Celfrost ,CF08CF Q Motor,
Spare Parts,Cold Line Artikel Inox ,CL01AI Door Gasket,
Spare Parts,Cold Line Artikel Inox ,CL02AI Temperature controller,
Spare Parts,Cold Line Artikel Inox ,CL03AI Condenser Fan,
